#energia_keV	cuentas	canal
322.4552	516	1162
322.7426	526	1163
323.0300	526	1164
323.3174	544	1165
323.6049	553	1166
323.8923	507	1167
324.1797	514	1168
324.4672	562	1169
324.7546	570	1170
325.0420	486	1171
325.3294	524	1172
325.6169	506	1173
325.9043	528	1174
326.1917	536	1175
326.4792	514	1176
326.7666	508	1177
327.0540	513	1178
327.3415	510	1179
327.6289	496	1180
327.9163	565	1181
328.2037	493	1182
328.4912	511	1183
328.7786	507	1184
329.0660	509	1185
329.3535	503	1186
329.6409	553	1187
329.9283	501	1188
330.2158	515	1189
330.5032	472	1190
330.7906	518	1191
331.0780	522	1192
331.3655	519	1193
331.6529	505	1194
331.9403	479	1195
332.2278	535	1196
332.5152	498	1197
332.8026	466	1198
333.0900	486	1199
333.3775	501	1200
333.6649	512	1201
333.9523	518	1202
334.2398	476	1203
334.5272	504	1204
334.8146	460	1205
335.1021	481	1206
335.3895	522	1207
335.6769	482	1208
335.9643	475	1209
336.2518	504	1210
336.5392	463	1211
336.8266	466	1212
337.1141	475	1213
337.4015	465	1214
337.6889	469	1215
337.9764	508	1216
338.2638	478	1217
338.5512	486	1218
338.8386	497	1219
339.1261	484	1220
339.4135	518	1221
339.7009	523	1222
339.9884	470	1223
340.2758	432	1224
340.5632	463	1225
340.8507	449	1226
341.1381	477	1227
341.4255	468	1228
341.7129	491	1229
342.0004	466	1230
342.2878	487	1231
342.5752	488	1232
342.8627	486	1233
343.1501	453	1234
343.4375	472	1235
343.7249	472	1236
344.0124	510	1237
344.2998	492	1238
344.5872	451	1239
344.8747	484	1240
345.1621	468	1241
345.4495	432	1242
345.7370	473	1243
346.0244	475	1244
346.3118	465	1245
346.5992	482	1246
346.8867	546	1247
347.1741	503	1248
347.4615	538	1249
347.7490	534	1250
348.0364	511	1251
348.3238	520	1252
348.6113	510	1253
348.8987	420	1254
349.1861	498	1255
349.4735	463	1256
349.7610	452	1257
350.0484	452	1258
350.3358	447	1259
350.6233	443	1260
350.9107	464	1261
351.1981	468	1262
351.4856	423	1263
351.7730	425	1264
352.0604	462	1265
352.3478	475	1266
352.6353	493	1267
352.9227	496	1268
353.2101	447	1269
353.4976	461	1270
353.7850	462	1271
354.0724	451	1272
354.3598	485	1273
354.6473	436	1274
354.9347	445	1275
355.2221	461	1276
355.5096	450	1277
355.7970	464	1278
356.0844	446	1279
356.3719	472	1280
356.6593	468	1281
356.9467	486	1282
357.2341	446	1283
357.5216	459	1284
357.8090	455	1285
358.0964	446	1286
358.3839	449	1287
358.6713	408	1288
358.9587	440	1289
359.2462	435	1290
359.5336	487	1291
359.8210	413	1292
360.1084	423	1293
360.3959	461	1294
360.6833	439	1295
360.9707	451	1296
361.2582	455	1297
361.5456	451	1298
361.8330	467	1299
362.1205	406	1300
362.4079	414	1301
362.6953	456	1302
362.9827	447	1303
363.2702	438	1304
363.5576	438	1305
363.8450	442	1306
364.1325	410	1307
364.4199	422	1308
364.7073	419	1309
364.9947	426	1310
365.2822	467	1311
365.5696	423	1312
365.8570	402	1313
366.1445	403	1314
366.4319	412	1315
366.7193	429	1316
367.0068	395	1317
367.2942	440	1318
367.5816	445	1319
367.8690	448	1320
368.1565	426	1321
368.4439	390	1322
368.7313	375	1323
369.0188	402	1324
369.3062	382	1325
369.5936	444	1326
369.8811	427	1327
370.1685	433	1328
370.4559	450	1329
370.7433	463	1330
371.0308	401	1331
371.3182	412	1332
371.6056	415	1333
371.8931	441	1334
372.1805	416	1335
372.4679	414	1336
372.7553	403	1337
373.0428	418	1338
373.3302	460	1339
373.6176	428	1340
373.9051	417	1341
374.1925	399	1342
374.4799	428	1343
374.7674	379	1344
375.0548	409	1345
375.3422	409	1346
375.6296	446	1347
375.9171	417	1348
376.2045	432	1349
376.4919	430	1350
376.7794	448	1351
377.0668	413	1352
377.3542	408	1353
377.6417	423	1354
377.9291	419	1355
378.2165	395	1356
378.5039	385	1357
378.7914	391	1358
379.0788	411	1359
379.3662	420	1360
379.6537	437	1361
379.9411	415	1362
380.2285	399	1363
380.5160	374	1364
380.8034	422	1365
381.0908	422	1366
381.3782	398	1367
381.6657	426	1368
381.9531	377	1369
382.2405	392	1370
382.5280	396	1371
382.8154	394	1372
383.1028	399	1373
383.3902	382	1374
383.6777	376	1375
383.9651	383	1376
384.2525	386	1377
384.5400	396	1378
384.8274	387	1379
385.1148	394	1380
385.4023	363	1381
385.6897	419	1382
385.9771	405	1383
386.2645	367	1384
386.5520	387	1385
386.8394	386	1386
387.1268	392	1387
387.4143	369	1388
387.7017	437	1389
387.9891	376	1390
388.2766	410	1391
388.5640	407	1392
388.8514	415	1393
389.1388	345	1394
389.4263	374	1395
389.7137	391	1396
390.0011	359	1397
390.2886	393	1398
390.5760	410	1399
390.8634	381	1400
391.1509	405	1401
391.4383	363	1402
391.7257	400	1403
392.0131	382	1404
392.3006	357	1405
392.5880	349	1406
392.8754	425	1407
393.1629	395	1408
393.4503	388	1409
393.7377	384	1410
394.0251	343	1411
394.3126	404	1412
394.6000	338	1413
394.8874	379	1414
395.1749	358	1415
395.4623	369	1416
395.7497	349	1417
396.0372	399	1418
396.3246	339	1419
396.6120	392	1420
396.8994	372	1421
397.1869	349	1422
397.4743	410	1423
397.7617	409	1424
398.0492	379	1425
398.3366	367	1426
398.6240	406	1427
398.9115	395	1428
399.1989	377	1429
